category,subject_prefix
discontinued,13
new,21
new,21A
new,21G
new,21H
new,21L
new,21M
new,21T
new,21W
new,AS
new,CC
new,CMS
new,CSB
new,CSE
new,EC
new,EM
new,ES
new,HST
new,IDS
new,MAS
new,MS
new,NS
new,SCM
new,SP
new,STS
new,WGS
persistent,1
persistent,10
persistent,11
persistent,12
persistent,14
persistent,15
persistent,16
persistent,17
persistent,18
persistent,2
persistent,20
persistent,22
persistent,24
persistent,3
persistent,4
persistent,5
persistent,6
persistent,7
persistent,8
persistent,9
